unique_id,respondent,id,archetype,narr-age,narr-family type,narr-duration,narr-spending,narr-env,narr-income,narr-mortgage percent,narr-credit,prm-house sqft,prm-lot sqft,prm-house age,prm-step,prm-suite,prm-reno_plan,prm-wall_type,prm-wall_age,prm-window_type,prm-window_age,prm-roof_type,prm-roof_age,prm-heat_eff,prm-heat_fuel,prm-heat_age,prm-dhw_eff,prm-dhw_fuel,prm-dhw_age,prm-cool_eff,prm-cool_fuel,prm-cool_age,prm-leakage,prm-maintenance,prm-asbestos,prm_derived_FAR,expqual-field,expqual-field_years,expqual-step_familiar,expqual-market_familiar,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-policy1,resp-policy2,resp-policy3,resp-confidence,binary-policyopt1,binary-policyopt2,binary-policyopt3,binary-policyopt4,binary-policyopt5,binary-policyopt6,binary-policyopt7,binary-policyopt8,binary-policyopt9,binary-policyopt10,binary-policyopt11,optimism_int,resp-influential_param,resp-additional_info
7sb4,7,sb4,2,4,3,4,1,2,3,1,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,0,0,0,3,3,0,0.6428571428571429,7,1,6,3,5,6,4,3,4,1,5,1,3,8,2,1,0,1,0,0,0,0,1,0,0,0,4,"Vancouver single family housing market, Energy Step Code Metrics, Renovation statistics",no response
28wc3,28,wc3,3,2,2,1,3,3,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,1,2,1,4,3,0,0.7,1,6,7,6,7,3,1,1,1,3,1,1,6,8,4,1,0,0,0,0,1,0,1,0,0,0,3,new house already built to current standards - will not need upgrades for a long time,this type of house is not likely to get much work done to it for at least 25 years or so - not a candidate for much in the way renovations other than cosmetic interior decoration.
11wc3,11,wc3,3,2,2,1,3,3,3,4,1,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,1,2,1,4,3,0,0.7,5,6,7,6,5,1,1,1,3,3,7,1,5,6,4,1,0,0,0,1,1,0,0,0,0,0,3,Regardless of great family income it is unlikely that significant home building envelope retrofit will be performed. The home is already very efficient and thge only improvment I envision in this home would be adding heat pump domestic water heater (instead of electric resistance heater). Potential energy savings and return of investment for bringing this home to Step 5 would not be atractive even for this family.,no response
27vs2,27,vs2,4,3,1,1,2,1,1,2,1,2,2,3,1,0,0,1,4,2,4,1,4,2,1,5,2,1,2,0,0,0,2,1,0,0.65,10,6,6,5,1,1,1,1,3,2,7,4,5,8,4,0,0,0,1,1,0,0,1,0,0,0,2,I believe the owners will grow weary of trying to retrofit this house with their limited budget to do so and will eventually sell it to someone who will rebuild on this lot.,no response
18vs2,18,vs2,4,3,1,1,2,1,1,2,1,2,2,3,1,0,0,1,4,2,4,1,4,2,1,5,2,1,2,0,0,0,2,1,0,0.65,4,3,7,6,5,4,1,1,5,2,6,3,6,8,3,0,0,1,0,0,1,0,1,0,0,0,2,"If it is torn down, like that CoV will have net-zero carbon requirements in place by then.",no response
5vs2,5,vs2,4,3,1,1,2,1,1,2,1,2,2,3,1,0,0,1,4,2,4,1,4,2,1,5,2,1,2,0,0,0,2,1,0,0.65,5,3,7,5,5,2,1,1,1,2,4,4,5,6,4,0,0,0,1,1,1,0,0,0,0,0,2,"uncertainty in how long the current owners plan to live in the home as-is, and at what point it is sold as a tear-down and a home built to applicable high performance standards at that time.","Energy is cheap, retrofitting a building envelope is not. A robust building envelope retrofit is required, as well as adding heat recovery to ventilation. This would be very expensive and not financially attractive in terms of payback on investment. I don't see a way to force people to make such large renovations to their homes unless it is heavily subsidized, and even then people may not do it unless it will overall save them money, or even if it did, simply because they don't know about these things and are hesitant to pursue such a big and disruptive renovation. Not to mention the risks of discovering other costs for upgrades once the retrofit starts.

I think it's far more likely that the property would achieve high performance through being torn down and rebuilt, at which time it would be subject to high performance standards. This seems more likely to me due to the land value."
27sb5,27,sb5,2,2,2,1,3,3,3,4,1,5,3,4,1,0,1,1,5,2,5,1,5,1,1,5,3,2,1,0,0,0,3,3,0,0.6428571428571429,10,6,6,5,5,5,3,1,5,2,7,4,5,8,3,0,0,0,1,1,0,0,1,0,0,0,5,"In 2050, their children will be 36 and 38 years old, and likely not living at home. The owners will have sold the house, looking to downsize. A new buyer will likely rebuild on this city lot with a more energy efficient home.",no response
27wc4,27,wc4,3,2,2,1,3,3,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,1,2,1,4,4,0,0.7,10,6,6,5,7,3,2,1,1,3,2,4,5,8,4,0,0,0,1,1,0,0,1,0,0,0,4,"It sounds like the owner couple is not interested in upgrading anything on their home for many years, so it seems unlikely that they'll get to a carbon free state in 31 years.",no response
19wc4,19,wc4,3,2,2,1,3,3,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,1,2,1,4,4,0,0.7,1,3,6,5,7,7,6,6,4,1,6,1,5,6,4,1,0,0,0,1,1,0,0,0,0,0,4,"Given the description, I envision any renovations being dependent on incentives (and / or combination of incentives and social competition / shaming). The stepped responses in 'likeliness' reflect suspected CBA evaluation thresholds. Given air leakage, I could imagine them springing for an airtightness retrofit as the most economical option if they could do only one thing. If incentives compelling enough (and / or social shaming great enough) I imagine this would motivate greater retrofit investments. And that, if they were doing it, I imagine the would see the value in doing this all at once - because this is cheaper in the long run (as any Civil Engineer would know). ...and no one wants their mother-in-law nagging about the renos not being done yet, or about the shame they are forced to suffer because theirs is the worst performing house of anyone in her bridge club.","Given their financial affluence and their most likely retrofit motivators being incentives and social status, conventional financing mechanisms and mandated public disclosure seem the most likely triggers.

I could imagine attaching loans to meter savings being an added bonus (perhaps more psychological than fiscal) for the civil engineer husband as performance analytics teachable-moments with his son. 

Anecdotal aside supporting the latter: 
M father is a PEng. Though not motivated by eco-social ethics (at least not until my daughter turned three and started scolding him for not), after he got his Nest thermostat, he became a highly competitive energy conservation ambassador. (Literally emailing us his Nest reports and letting us know how much he 'beat' his neighbour Joe by)."
24vs5,24,vs5,4,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,4,2,1,2,2,1,2,0,0,0,2,3,0,0.65,5,4,7,6,6,5,3,1,2,3,3,4,5,8,4,0,0,0,1,1,0,0,1,0,0,0,5,Understanding of the Vancouver housing market,"Sounds like my own family/ life situation (though not in Vancouver) so I feel they would act in a manner similar to my own preferences.

Ultimately, I think this family would be interested in upgrades, but also values the savings that a suite would bring. So I think they would invest there first, upgrade to efficient appliances when replacing them (given the payback is reasonable, maybe 10-15 years or less) and then use the additional funds from the rental income for any further energy improvements."
15vs5,15,vs5,4,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,4,2,1,2,2,1,2,0,0,0,2,3,0,0.65,5,3,7,6,6,6,6,6,5,1,5,2,3,5,3,0,1,1,0,1,0,0,0,0,0,0,5,Homeowner interest in sustainability,"There are heat pump based solutions that could offer both heating and cooling. The awareness of the impacts of the future climate (anticipated 30% reduction in heating energy demand by 2030s) is in its fledgling state. As long as we have an understanding of the average future climate of the 2050s and design our retrofits from that perspective, that would help."
2vs5,2,vs5,4,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,4,2,1,2,2,1,2,0,0,0,2,3,0,0.65,7,2,7,5,5,4,4,3,4,2,5,1,7,8,3,1,0,0,0,0,0,1,1,0,0,0,5,"Bias - I expect policy to mandate heat pumps by 2035, so decarbonize via fuel switch, not energy efficiency",no response
2vs5,2,vs5,4,3,3,1,2,3,3,4,1,2,2,3,1,0,1,1,4,2,4,1,4,2,1,2,2,1,2,0,0,0,2,3,0,0.65,7,2,7,6,4,1,1,1,4,2,4,1,8,8,3,1,0,0,0,0,0,0,1,0,0,0,5,"I assume the house would be torn down and re-built within 5-7 years due to age of building/system and occupants (father likely passed away, son likely moved out). Under existing/anticipated policy within this timeframe, gas heating is still allowed, and fossil gas has artificially low rates due to subsidization of the industry. Therefore, with higher costs of heat pumps, there is no major driver to go zero carbon at this time. On the other hand, as the family is environmentally minded they may choose this direction.",Incentives are fine as supporting mechanisms but ultimately we need clear regulation to get off fossil fuels. Also there is often conflation of energy efficiency with GHG reduction. Energy efficiency alone is not enough to reduce CO2 in line with CoV's new climate commitments.
24mp2,24,mp2,1,5,2,4,2,1,1,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,0,0,0,2,3,1,0.525,5,4,7,6,2,1,1,1,1,3,1,1,5,8,3,1,0,0,0,1,0,0,1,0,0,0,2,"Understanding of the Vancouver market (I would have said ""demolished and rebuilt"" if it were in Vancouver, as I'm assuming the owners will sell before 2035 and move to a condo, but in N Van there are fewer land assemblies so I'm assuming it will be bought by a young family who will reno the inside only).","I'm fairly certain this home will be sold before 2035 so that the retired couple can move into a smaller home and save on monthly maintenance, plus pay lower utilities, etc. So that's why I chose the benchmarking as a useful tool as I'm imagining it occurring during the buy/sell process. I also would hope that the new owners would have to follow a retrofit code for any upgrades they undertake."
11mp2,11,mp2,1,5,2,4,2,1,1,1,1,1,2,2,1,0,0,1,3,1,5,1,5,1,1,5,1,1,5,0,0,0,2,3,1,0.525,5,6,7,6,1,1,1,1,1,2,1,1,5,8,4,1,0,0,0,1,0,0,1,0,0,0,2,The age of the house and the age of the owners as well as their life style. The property could be carbon free only if demolished and new house built on the site is enforced to be carbon free.,no response
24gwh1,24,gwh1,5,6,4,5,1,1,1,1,1,4,1,1,0,1,0,1,5,2,5,1,5,1,3,5,1,1,5,0,0,0,1,3,0,0.9569377990430622,5,4,7,6,2,1,1,1,1,3,1,1,8,6,3,1,0,0,0,0,1,0,1,0,0,0,1,Difficult to retrofit to high energy efficiency- would require full cladding update that may be difficult when maintaining character on such a home (I'm assuming that would be required),"It sounds like this building will likely be sold in the timeframe. The current owner would have zero interest in upgrading. The new owners might, but unless there is a mandated retrofit code, there is no guarantee. The discussion didn't mention heritage requirements, but there may be some given the age and character of the house, that would result in additional costs to upgrade."
16gwh1,16,gwh1,5,6,4,5,1,1,1,1,1,4,1,1,0,1,0,1,5,2,5,1,5,1,3,5,1,1,5,0,0,0,1,3,0,0.9569377990430622,10,3,7,6,5,5,3,2,5,3,5,3,7,8,4,0,0,1,0,0,0,1,1,0,0,0,1,"Vancouver has implemented incentives to retain Character Homes. This house would qualify, so I could see a subsequent homeowner expanding the house and rebuilding the garage into a laneway house, and using the opportunity to complete a full-building energy retrofit.","Unlike Case 2, this house is of an archtype much loved by Vancouverites, and the City has demonstrated its desire to retain them. With the proper package of incentives, including senior government tax credits, utility rebates and City incentives, a moderate-level upgrade would be both achievable and desirable by a future homeowner."
7gwh1,7,gwh1,5,6,4,5,1,1,1,1,1,4,1,1,0,1,0,1,5,2,5,1,5,1,3,5,1,1,5,0,0,0,1,3,0,0.9569377990430622,7,1,6,3,6,6,3,1,2,3,2,3,4,8,2,0,0,1,1,0,0,0,1,0,0,0,1,"Heritage home guidelines in Vancouver, energy step code metrics, single family housing market trends",no response
23vs6,23,vs6,4,4,1,2,2,3,3,4,3,2,2,3,1,0,1,1,4,2,4,1,4,2,1,4,2,1,4,0,0,0,2,4,0,0.65,7,1,7,2,4,3,1,1,4,3,5,1,7,7,2,1,0,0,0,0,0,1,0,0,0,0,6,stated equipment and envelope replacement timelines; knowledge of City of Vancouver's zero-emission thermal equipment requirements by 2025; lack of active cooling and rising temperatures; possible addition of EUI load in adding a rental suite;,"Also considered ""Innovative financing mechanisms..."" policy instrument, but decided this was less likely to be as valued by this couple given the desire to fund upgrades through personal savings."
1vs6,1,vs6,4,4,1,2,2,3,3,4,3,2,2,3,1,0,1,1,4,2,4,1,4,2,1,4,2,1,4,0,0,0,2,4,0,0.65,5,3,5,5,5,4,3,2,5,2,4,2,7,8,3,0,1,0,0,0,0,1,1,0,0,0,6,"if the couple has undertaken retrofits in the past and is conscientious about their environmental impact, they will likely undertake future retrofits. Plus, if the couple downsizes and sells the house, it will likely be torn down, given its age.",no response
23mp3,23,mp3,1,2,1,1,2,1,3,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,0,0,0,2,3,1,0.525,7,1,7,2,2,1,1,1,1,2,7,1,6,7,2,1,0,0,0,0,1,1,0,0,0,0,3,"not financially-inclined/able to invest in EE or GHG reductions; timing of equipment replacements does not line up, so unlikely to shift to a central heat pump system if looking to add cooling (particularly if before 2025, which seems likely); age of building, presence of asbestos, and more difficult/costly to retrofit thermal equipment setup",no response
2mp3,2,mp3,1,2,1,1,2,1,3,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,0,0,0,2,3,1,0.525,7,2,7,5,4,3,2,1,3,3,5,1,7,8,3,1,0,0,0,0,0,1,1,0,0,0,3,See previous comment about heat pumps,no response
2mp3,2,mp3,1,2,1,1,2,1,3,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,0,0,0,2,3,1,0.525,7,2,7,6,2,1,1,1,1,2,4,4,7,8,3,0,0,0,1,0,0,1,1,0,0,0,3,"Seems unlikely this family will live in the same house for 30 years, and/or significantly invest in upgrades, therefore demolish/rebuild either under their ownership or another seems likely. Whether or not it is carbon neutral depends mostly on when it rebuilds and what the city policy is at that time.",no response
23gwh2,23,gwh2,5,5,4,4,1,1,2,4,2,4,1,1,0,1,0,1,5,2,5,1,5,1,3,5,1,1,5,0,0,0,1,4,0,0.9569377990430622,7,1,7,2,2,1,1,1,4,3,6,3,7,8,2,0,0,1,0,0,0,1,1,0,0,0,2,"lack of cooling; likelihood that home will be sold before 2035; desirable character of the home; potential to replace fireplaces with heat pumps, but potential for owner to not want a heat pump to avoid affecting look and feel of the home",no response
15gwh2,15,gwh2,5,5,4,4,1,1,2,4,2,4,1,1,0,1,0,1,5,2,5,1,5,1,3,5,1,1,5,0,0,0,1,4,0,0.9569377990430622,5,3,7,6,4,4,4,4,4,2,5,2,3,4,3,0,1,1,1,0,0,0,0,0,0,0,2,likely carbon free by 2050 if they reconstruct,The building is old and needs enclosure needs key repairs by 2030s. She can sell the lot to a developer and get a MURB built with a brand new energy efficient suite for herself (in an ideal world!).
22mp4,22,mp4,1,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,0,0,0,2,2,0,0.525,7,1,6,5,5,3,3,3,6,2,7,1,4,8,4,1,0,0,1,0,0,0,1,0,0,0,4,City of Vancouver's mandate to both densify the City (in the works with our City-wide plan) and aggressively zero emissions-ify our housing stock,"Story specific: the likely outcome for this house is to upgrade their space heating + DHW systems to electric-based equipment after 2025 when this will be a requirement. The contractor will ideally recommend air tightness and envelope improvements to improve comfort and lower bills. 

General information (not story specific) In the City of Vancouver, we have the mandate and regulation authority to set GHG emissions limits / prescriptive equipment use. Rather than energy efficiency (which Step Code supports, meaning fossil fuels are not diminished at nearly the same rate) we are focused on electrifying mechanical equipment and appliances. With supporting focus on improving the envelope to reduce heating / cooling loads.

So while Vancouver homes will likely not hit high levels of the Step Code, they will achieve significant GHG reductions. 

Near term priorities are 1) create support solutions for those with the highest needs (high energy bills + low income) and 2) public education! Get green-minded people asking for these upgrades."
22mp4,22,mp4,1,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,0,0,0,2,2,0,0.525,6,3,7,5,5,6,3,1,4,2,6,3,8,6,3,0,0,1,0,0,1,0,1,0,0,0,4,"Their ability to meet upper steps will depend on whether they opt to install a heat pump as their heating and cooling system when the furnace it out. However, if the whole are surrounding the house is being redeveloped, the likliehood is that the home would experience the same fate as others, where density is favoured and land values reflect that. (Though, I'm not super familiary with the Vancouver context, so it's just informed by the stories I've heard!)",no response
9mp4,9,mp4,1,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,0,0,0,2,2,0,0.525,7,3,7,4,6,5,3,1,5,2,7,1,6,8,4,1,0,0,0,0,1,0,1,0,0,0,4,"1) likelyhood that furnace and boiler will be replaced with heat pumps, and 2) the fact that windows will be replaced between 2030 and 2040",no response
1mp4,1,mp4,1,2,2,1,1,2,2,5,1,1,2,2,1,0,1,1,3,1,3,1,4,1,1,4,1,1,4,0,0,0,2,2,0,0.525,5,3,5,5,3,2,1,1,2,3,4,2,6,8,3,0,1,0,0,0,1,0,1,0,0,0,4,"The family likely won't be able to finance a major retrofit, and sounds like they may be there for the long term. Achieving Step 5 would require a major building renovation including envelop, which is a very expensive investment that doesn't see a payback.",no response
22gwh3,22,gwh3,5,5,1,3,1,2,2,1,2,4,1,1,0,1,1,1,5,2,5,1,5,1,3,5,1,1,5,0,0,0,1,4,0,0.9569377990430622,7,1,6,5,5,2,2,2,5,3,7,4,6,8,3,0,0,0,1,0,1,0,1,0,0,0,3,"Heritage character, large, unlikely to be demolished.","I foresee a PACE - like property-based financing structure would work well here to facilitate an envelope upgrade paired with a central heating+cooling heat pump system. A 5 head ductless mini-split system could avoid the need for invasive ductwork. The financial benefit from switching from 100% baseboard to 300+% efficient heat pump could provide a quick payback.

A homeowner support tool (online and / or in person) would likely be useful for this couple."
22gwh3,22,gwh3,5,5,1,3,1,2,2,1,2,4,1,1,0,1,1,1,5,2,5,1,5,1,3,5,1,1,5,0,0,0,1,4,0,0.9569377990430622,6,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,no response
5gwh3,5,gwh3,5,5,1,3,1,2,2,1,2,4,1,1,0,1,1,1,5,2,5,1,5,1,3,5,1,1,5,0,0,0,1,4,0,0.9569377990430622,5,3,7,5,2,1,1,1,1,2,4,4,5,6,3,0,0,0,1,1,1,0,0,0,0,0,3,Wondering what value is placed on the heritage of this vintage of home. It may lead to someone deciding to do a deep retrofit rather than tear down and rebuild.,no response
22wc1,22,wc1,3,2,3,1,2,1,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,1,2,1,4,4,0,0.7,7,1,6,5,5,5,1,1,6,3,7,1,7,8,4,1,0,0,0,0,0,1,1,0,0,0,1,"Home is already all-electric (for space heating + hot water), regulation will eventually require appliances to be electrified as well. But that is far away.",This home nearly meets the zero emissions criteria (all electric for space heating + DHW). It is well on its way to be future-proofed for regulation. All that is left is the fireplaces and gas appliances.
22wc1,22,wc1,3,2,3,1,2,1,3,2,3,3,2,5,2,1,0,2,1,1,1,2,1,3,2,1,3,2,1,1,2,1,4,4,0,0.7,6,3,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,no response
25vs4,25,vs4,4,3,1,1,2,3,3,1,1,2,2,3,1,0,0,1,4,2,4,1,4,2,1,5,2,1,5,0,0,0,2,3,0,0.65,5,4,7,6,5,1,1,1,5,2,3,6,11,6,4,0,0,0,0,0,1,0,0,0,0,1,4,"The rate of homes that are demolished in the City on an Annual Basis, The most costly part of the home is the land. The occupancts are morel likely to demolish the building and rebuild this sort of home then to retrofit becuase the home is extremly ugly","Don't compare current buildings to a new code like step code that has yet to be proven. 
There are serious health and safety concerns with the Step code approach that are likely to have negative impacts to occupancy health and well being. The baseline for an existing building is the current energy use from the billing data. There is no benefit to comparing it to Step Code that i can see whatsoever. 

it's also impossible, how do you measure the TEDI of an existing building ?"
16vs4,16,vs4,4,3,1,1,2,3,3,1,1,2,2,3,1,0,0,1,4,2,4,1,4,2,1,5,2,1,5,0,0,0,2,3,0,0.65,10,3,7,6,5,4,3,2,5,3,1,3,4,6,4,0,0,1,1,0,1,0,0,0,0,0,4,"The age of the house, the likely motivation level of the owners, and the effort required to bring a house of this age/condition to be Step 5-compliant.","IMO, a big part of today's situation is lack of consumer knowledge. Industry and government would be in a much better position to provide retrofit solutions if homeowners demanded high efficiency homes. Without 'bottom-up' demand push, implementation of policies and mandatory regulations will always be met with some resistance."
25mp1,25,mp1,1,3,5,3,2,1,3,5,2,1,2,2,1,0,0,1,3,1,3,1,4,1,1,4,1,1,4,0,0,0,2,2,0,0.525,5,4,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,no response
